"n_ord.x","extractn","tip_iapr_1","cluster_adm","color_admix","PC1","PC2","PC3"
143,"e162","e162_mich_Aquila",2,"#FDAE61",0.0936638877975526,0.0130398354011896,0.00436965866940193
144,"e163","e163_mich_Encinal",2,"#FDAE61",0.047321287973822,-0.00733766420911518,0.00998957183559056
145,"e164","e164_mich_PlayaAzul",2,"#FDAE61",0.0131030850568141,0.0637986060020343,0.0102397090798725
146,"e165","e165_gro_Atoyac",2,"#FDAE61",0.00543264560679334,-0.00919095415936818,0.00524109182335928
147,"e166","e166_pue_Pantepec",4,"#66C2A5",-0.0296954069395929,-0.0393704838309463,-0.00691697015392648
148,"e167","e167_oax_SnAndresHuax",1,"#FEE08B",-0.0169321893756268,0.00973914126314077,-0.00207853687826443
149,"e168","e168_ver_BenitoJuar",4,"#66C2A5",0.0269177687131747,0.0575753090985243,0.015213542709721
150,"e169","e169_ver_BenitoJuar",4,"#66C2A5",-0.023536637489393,-0.0236203352245848,-0.0155949736155254
151,"e170","e170_oax_SnAndresHuax",1,"#FEE08B",-0.0173675411486961,-0.0263765302151119,-0.0111476944313168
152,"e171","e171_ver_Tepetzintla",4,"#66C2A5",-0.0199657655406131,-0.0740730151976117,-0.00644509524276762
153,"e172","e172_ver_Ixhuatlan",4,"#66C2A5",0.0125000022352767,-0.0276697304754707,0.00249014923500596
154,"e173","e173_ver_Ixhuatlan",4,"#66C2A5",-0.0130164204964152,-0.00498587934364374,0.00147474344243167
155,"e174","e174_ver_PuenteNal",10,"#ABDDA4",0.0872654666048111,-0.002842945300632,0.020744845809383
156,"e175","e175_ver_PasoOvejas",10,"#ABDDA4",-0.015105004408987,-0.0140731369242113,0.0013620357111762
157,"e176","e176_ver_PasoSnJuan",10,"#ABDDA4",-0.065144165126114,0.0077632570785986,-0.00810769344713823
158,"e177","e177_oax_Tuxtepec",10,"#ABDDA4",0.0921354305458425,-0.0456964418016784,0.00397779744619977
159,"e178","e178_ver_Matalcalcin",3,"#3288BD",0.013390062156243,-0.0343385481248109,0.000716710829362811
160,"e179","e179_ver_Catemaco",3,"#3288BD",-0.0748194364058637,-0.00780840349316429,-0.0084971012713393
161,"e180","e180_ver_Hueyapan",3,"#3288BD",-0.0115546681437698,0.00388334152589925,0.00504097951379468
162,"e181","e181_ver_Hueyapan",3,"#3288BD",-0.0560179881345773,0.00760677553556709,-0.00670041299005088
163,"e182","e182_ver_LomaBonit",3,"#3288BD",-0.0148170482519536,0.0186728284750577,-0.000405288798883697
164,"e183","e183_ver_LomaBonit",3,"#3288BD",0.0241543698407081,-0.0274234441612644,0.00918586686134274
165,"e184","e184_oax_MatiasRom",3,"#3288BD",-0.0198505324909722,0.0182618226774023,-0.00370561769638744
166,"e185","e185_oax_StaMaChimalap",3,"#3288BD",0.00274516366909642,-0.015522503465113,0.00762602054646433
167,"e186","e186_oax_SnJuanGuichic",3,"#3288BD",-0.00128415227229719,-0.00764680710972091,0.00544786719693551
168,"e187","e187_oax_BarraCruz",6,"#E6F598",0.020029306025979,0.0396714273783776,0.00919691802894007
169,"e190","e190_chi_Tuzantan",8,"#5E4FA2",0.0531343970602348,0.048442523505757,0.0189486039482555
170,"e191","e191_chi_Tuzantan",8,"#5E4FA2",0.0359369490958666,0.0294837365457385,0.0170226110436043
171,"e192","e192_chi_Mapastepec",8,"#5E4FA2",0.00909478404982907,0.0379730639147368,0.0051310287789136
172,"e193","e193_oax_Brisas",6,"#E6F598",-0.0110708134215336,-0.0371439597502442,-0.00670604428641227
173,"e194","e194_nay_SanBlas",9,"#D53E4F",0.0126746998437226,0.0117574013207118,0.00119851270072156
174,"e195","e195_nay_Compost",9,"#D53E4F",0.0511934485930593,-0.00971785452524119,0.00505985745383405
175,"e196","e196_jal_PtoVallarta",7,"#F46D43",-0.0095472132427012,-0.0151941545752414,-0.00264214033173725
176,"e197","e197_jal_CaboCorr",5,"#9E0142",-0.0999836409186972,0.0536459166145871,-0.0106297340686382
177,"e199","e199_jal_BarraNavi",2,"#FDAE61",-0.0385701751797271,0.000564226544597661,-0.00686187196303324
178,"e200","e200_mich_Coahuaya",2,"#FDAE61",-0.0457584575461581,0.0567798897268504,-0.0061000812540127
