"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"326",326,"mexu","MEXU_1167901",17.19352307,-100.292859,"si",1982,3,28,"Guerrero","Atoyac de Alvarez","de El Quemado en la desv. a Tecpan","Bosque tropical caducifolio (secundaria), suelo arenoso"
"327",327,"mexu","MEXU_1167927",16.9102506,-98.9787951,"si",1986,4,24,"Guerrero","Ayutla de los Libres","La concordia camino hacia Las Mesas","Bosque de Quercus, suelo pedregoso, poco profundo, arcilloso"
"328",328,"mexu","MEXU_1150519",16.38333,-93.97083,"si",2004,1,26,"Chiapas","Arriaga","La Alianza, Nuevo centro de poblacion",""
"329",329,"mexu","MEXU_1151745",20.70042161,-105.2964862,"si",1988,4,2,"Nayarit","Ahuacatlan","2km al N de San Ignacio, ca. 10 km al S de Bucerias",""
"330",330,"mexu","MEXU_1047650",17.149307,-99.5553861,"si",1966,1,1,"Guerrero","","Tierra Colorada",""
"331",331,"mexu","MEXU_101246",18.34558355,-96.2709187,"si",1961,2,24,"Oaxaca","","km 18 de la Granja-Temascal, margen derecho",""
"333",333,"mexu","MEXU_1192027",17.9578138,-101.615564,"si",2005,2,7,"Guerrero","La Union de Isidoro Montes de Oca","sobre carr. mex. 134, 3.5km al suroeste de Vallecitos",""
"334",334,"mexu","MEXU_1196591",15.77317,-96.21225,"si",2005,1,16,"Oaxaca","Santa Maria Huatulco","Sobre el rio Xuchitl, a 9km en linea recta (210 grados N) del puente Xuchitl",""
"335",335,"mexu","MEXU_1196598",15.74278,-96.17417,"si",2006,2,5,"Oaxaca","Santa Maria Huatulco","4km en linea recta (230 grados) al SW de Santa Maria Huatulco",""
"336",336,"mexu","MEXU_1198317",15.8513092,-95.960244,"si",2001,2,14,"Oaxaca","Santiago Astata","Barra de la Cruz, 2km al N sobre el rio Chacalapa",""
