"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"198",198,"gbif","1893730288",19.491667,-96.491667,"si",1977,2,11,"Veracruz","PUENTE NACIONAL","REMUDADERO, MPIO. PUENTE NACIONAL, VER.","MATORRAL EN CANIADA"
"202",202,"gbif","1893430237",17.508333,-94.925,"si",1961,4,7,"Veracruz","ACAYUCAN","Acayucan","Cubre una gran parte del cuadrante con flores de color amarillos"
"205",205,"gbif","1585944430",20.8833,-97.55,"si",1941,3,16,"Veracruz","","Huizontla, Coalcoman Mich. District.","Woods."
"212",212,"gbif","1259897420",18.23560198,-96.4051752,"si",1987,2,12,"Oaxaca","Tuxtepec","500 m. de la Hidroelectrica al Vertedor de La Presa Temascal. Limites de la Selva Mediana Subperennifolia, con Brosimum alicastrum.",""
"214",214,"gbif","1259279128",21.2,-105.066667,"si",1979,1,9,"Nayarit","Compostela","Along Highway 200 between Tepic and Puerto Vallarta; 33 miles SSW [south] of Tepic, 4 miles NE [north] of Las Varas.",""
"215",215,"gbif","1259278687",17.15,-99.516667,"si",1979,1,5,"Guerrero","Juan R. Escudero","Along gravel road between Tierra Colorado and Xalpatlahuac, between Tierra Colorado and bridge over Rio Omitlan",""
"217",217,"gbif","1259277109",21.583333,-105.216667,"si",1991,3,13,"Nayarit","San Blas","5 km al W del crucero de San Blas-Los Cocos, o a 1 km al W de Singaita. Selva mediana alterada.",""
"218",218,"gbif","1259276080",14.92,-92.35,"si",1976,2,20,"Chiapas","Tapachula","Along route #200 between Huixtla and Tapachula, ca. 12 km from Tapachula.",""
"219",219,"gbif","1259275532",22.65,-105.233333,"si",1927,3,1,"Nayarit","Acaponeta","Acaponeta, Tiger Mine. [From M.E. Jones, Contr. W. Bot. 13: 121 (1929): ""Went to the El Tigre mine on horseback. This is some 26 miles east of Acaponeta, and the mine is at 1,400 feet altitude...Next morning ... started back... botanizing along the way....""]",""
"220",220,"gbif","1259275272",18.16528484,-96.09753764,"si",1983,2,26,"Veracruz","Tierra Blanca","""Puente las Pinias"" a la salida de Delicias. Carr. a Cd. Aleman. Veg. Secundaria. Suelo amarillo arcilloso.",""
"224",224,"gbif","1258595910",14.987222,-92.163611,"si",1976,12,13,"Chiapas","Cacahoatíçn","Weed in street in Cacaohatin [elevation 485 m for this locality].",""
"226",226,"gbif","1257845799",15.844722,-95.970833,"si",2002,2,19,"Oaxaca","Tehuantepec","Municipio: Santiago Astata. 1.5 km al N de Barra de la Cruz.",""
"237",237,"gbif","912389603",18.41,-100.68,"si",1934,1,19,"Michoacan","","Tacupa","I.R.F.B."
"243",243,"inat","113448149",21.018219,-105.274009,"si",2022,4,19,"Nayarit","Compostela","Cerca de carretera a Los Ayala","https://www.inaturalist.org/observations/113448149"
"244",244,"inat","112112237",15.885068,-96.415028,"si",2022,4,12,"Oaxaca","Pluma Hidalgo","Camino de terraceria paralelo a la carr. Oaxaca El Zapote-Copalita hacia finca San Rafael","https://www.inaturalist.org/observations/112112237"
"245",245,"inat","111260671",15.88546,-96.41492,"si",2022,4,12,"Oaxaca","Pluma Hidalgo","Camino de terraceria paralelo a la carr. Oaxaca El Zapote-Copalita hacia finca San Rafael","https://www.inaturalist.org/observations/111260671"
"246",246,"inat","110667933",17.990963,-102.117027,"si",2022,2,28,"Guerrero","La Union de Isidro Montes de Oca","Cruzando el rio, enfrente de la CFE Petacalco-Lazaro Cardenas","https://www.inaturalist.org/observations/110667933"
"247",247,"inat","109778456",17.889386,-94.97308,"si",2022,3,28,"Veracruz","Sayula de Aleman","Cerca de carretera Sayula de Aleman-Tierra blanca","https://www.inaturalist.org/observations/109778456"
"248",248,"inat","146000936",19.366096,-96.839058,"si",2022,12,6,"Veracruz","Tlaltetela","Cerca de carretara Xalapa-Totutla al este del Mirador al Rio La Antigua y entre el mismo rio","https://www.inaturalist.org/observations/146000936"
"249",249,"inat","108517226",16.822361,-99.807091,"si",2022,3,13,"Guerrero","Acapulco de Juarez","Aprox a 676m de la Carretera Cayaco-Puerto Marques","https://www.inaturalist.org/observations/108517226"
"250",250,"inat","107263655",19.224037,-104.686027,"si",2022,1,8,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta","https://www.inaturalist.org/observations/107263655"
"251",251,"inat","106587682",17.978363,-102.335918,"si",2022,2,10,"Michoacan","Lazaro Cardenas","Cerca de carretera La Mira-Playa Azul, del lado contrario a la costa","https://www.inaturalist.org/observations/106587682"
"252",252,"inat","106388866",20.614558,-105.223587,"si",2022,2,7,"Jalisco","Puerto Vallarta","Cerca del fraccionamiento los gastronomicos, sobre la calle Terranoble","https://www.inaturalist.org/observations/106388866"
"253",253,"inat","105791744",17.628191,-101.539326,"si",2022,1,29,"Guerrero","Zihuatanejo de Azueta","Aprox 100m al N del centro de tennis Chanek","https://www.inaturalist.org/observations/105791744"
"254",254,"inat","107263777",19.214989,-104.684938,"si",2022,1,8,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta, frente a Bungalows Sunset","https://www.inaturalist.org/observations/107263777"
"255",255,"inat","105376870",15.678531,-96.515236,"si",2022,1,21,"Oaxaca","San Pedro Pochutla","1.61 km al N de la carretera 175 ","https://www.inaturalist.org/observations/105376870"
"256",256,"inat","104625287",20.645972,-105.233228,"si",2022,8,1,"Jalisco","Puerto Vallarta","Aprox 400m al Este sobre Av. Fluvial Vallarta del Blvd. Francisco Medina Ascencio","https://www.inaturalist.org/observations/104625287"
"257",257,"inat","103735150",19.157236,-104.362555,"si",2021,12,26,"Colima","Manzanillo","Cerca de la cancha de la zona de senderimos Petatero","https://www.inaturalist.org/observations/103735150"
"258",258,"inat","103419212",17.628191,-101.539326,"si",2021,12,21,"Guerrero","Zihuatanejo de Azueta","Aprox 100m al N del centro de tennis Chanek","https://www.inaturalist.org/observations/103419212"
"259",259,"inat","99456139",19.329123,-104.799116,"si",2021,10,25,"Jalisco","La Huerta","Aprox 2.89km al N de la Carretera 200 Manzanillo-Puerto Vallarta, por camino de terraceria ","https://www.inaturalist.org/observations/99456139"
"260",260,"inat","77780199",20.792382,-105.325624,"si",2021,5,6,"Nayarit","Bahia de Banderas","Aprox. 4.11km al N de Bucerias por terraceria, a la altura del Mirador La Bruja","https://www.inaturalist.org/observations/77780199"
"261",261,"inat","75717683",15.878577,-96.339368,"si",2021,4,29,"Oaxaca","San Pedro Pochutla","1km al E del pueblito Benito Juarez sobre camino de terraceria ""Hidalgo""","https://www.inaturalist.org/observations/75717683"
"262",262,"inat","71664170",17.879786,-95.03257,"si",2021,3,20,"Veracruz","San Juan Evangelista","Aprox. 4.11km al S de la Carretera 145 Sayula de Aleman-Tierra Blanca, por camino de terraceria, pasando el ""Silice del Istmo"" hasta el centro del pueblo Aguacatito, de ahi 561m al E","https://www.inaturalist.org/observations/71664170"
"263",263,"inat","71598507",20.895614,-105.399606,"si",2021,3,19,"Nayarit","Bahia de Banderas","A 14m de la Carretera 200 Tepic-Puerto Vallarta","https://www.inaturalist.org/observations/71598507"
"264",264,"inat","70094207",15.879965,-96.333888,"si",2021,2,29,"Oaxaca","San Pedro Pochutla","1km al E del pueblito Benito Juarez sobre camino de terraceria ""Hidalgo""","https://www.inaturalist.org/observations/70094207"
"265",265,"inat","70043866",15.880389,-96.33326,"si",2021,2,21,"Oaxaca","San Pedro Pochutla","1km al E del pueblito Benito Juarez sobre camino de terraceria ""Hidalgo""","https://www.inaturalist.org/observations/70043866"
"266",266,"inat","69997618",15.88141,-96.331182,"si",2021,2,21,"Oaxaca","San Pedro Pochutla","1km al E del pueblito Benito Juarez sobre camino de terraceria ""Hidalgo""","https://www.inaturalist.org/observations/69997618"
"267",267,"inat","69826269",17.879913,-95.033821,"si",2021,2,19,"Veracruz","San Juan Evangelista","Aprox. 4.11km al S de la Carretera 145 Sayula de Aleman-Tierra Blanca, por camino de terraceria, pasando el ""Silice del Istmo"" hasta el centro del pueblo Aguacatito, de ahi 561m al E","https://www.inaturalist.org/observations/69826269"
"268",268,"inat","69696567",15.730996,-96.166768,"si",2021,2,16,"Oaxaca","Santa Maria Huatulco","Aprox. 858m antes de llegar a la Bahia de Cacaluta, por el camino de terraceria","https://www.inaturalist.org/observations/69696567"
"269",269,"inat","69380411",19.339178,-96.759453,"si",2021,2,9,"Veracruz","Jalcomulco","Aprox. a 200m de Selvazul, turismo de Aventura","https://www.inaturalist.org/observations/69380411"
"270",270,"inat","69304837",19.214587,-104.68486,"si",2021,2,8,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta","https://www.inaturalist.org/observations/69304837"
"271",271,"inat","69303601",19.21813,-104.68512,"si",2021,2,8,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta","https://www.inaturalist.org/observations/69303601"
"272",272,"inat","69284254",19.225173,-104.685883,"si",2021,2,8,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta","https://www.inaturalist.org/observations/69284254"
"273",273,"inat","69167858",19.22589,-104.708778,"si",2021,2,6,"Jalisco","San Patricio","Aprox. 200m al S de la Carretera 200, por el camino de Las Primaveras, pasando el Rio","https://www.inaturalist.org/observations/69167858"
"274",274,"inat","68983569",21.017612,-105.278244,"si",2021,1,31,"Nayarit","Compostela","Aprox. 1km al O de la Carretera 200, antes de llegar a Rincon de Guayabitos","https://www.inaturalist.org/observations/68983569"
"275",275,"inat","68301854",15.9154,-96.13916,"si",2021,1,15,"Oaxaca","San Miguel del Puerto","Sobre terraceria, antes e la desviacion de las cascadas San Miguel llano grande y cascadas magicas de Copalitilla","https://www.inaturalist.org/observations/68301854"
"276",276,"inat","68301796",15.909369,-96.135834,"si",2021,1,15,"Oaxaca","San Miguel del Puerto","Aprox a 104m de la entrada a las cascadas magicas de Copalitilla","https://www.inaturalist.org/observations/68301796"
"277",277,"inat","68290461",15.864522,-96.230576,"si",2021,1,15,"Oaxaca","Santa Maria Huatulco","Aprox. 1.96km al N del pueblito Arroyo Xuchitl, cerca del hotel Yoo'Nashi","https://www.inaturalist.org/observations/68290461"
"278",278,"inat","68290444",15.864522,-96.230576,"si",2021,1,15,"Oaxaca","Santa Maria Huatulco","Aprox. 138m al E del hotel Yoo'Nashi","https://www.inaturalist.org/observations/68290444"
"279",279,"inat","68247414",17.390293,-101.052898,"si",2021,1,17,"Guerrero","Petatlan","Aprox. 800m al N de la escuela priamria Nicolas Bravo en Coyuquilla Norte (1.5km al N de la carretara 200)","https://www.inaturalist.org/observations/68247414"
"280",280,"inat","55414438",16.599634,-98.14152,"si",2017,1,22,"Oaxaca","San Juan Cacahuatepec","Aprox. 2km al E de San Juan Cacahuatepec, antes de llegar a La Guitarra, sobre terraceria","https://www.inaturalist.org/observations/55414438"
"281",281,"inat","44365173",19.105864,-104.293614,"si",2013,2,28,"Colima","Manzanillo","Aprox. 500m de la bifurcacion de la carretera 200 Manzanillo-Puerto Vallarta, al N de Villa Cipres","https://www.inaturalist.org/observations/44365173"
"282",282,"inat","42852758",19.214272,-104.684525,"si",2020,4,22,"Jalisco","Cihuatlan","Cerca de carreteta 80 Barra de Navidad-La Huerta, frente a Bungalows","https://www.inaturalist.org/observations/42852758"
"283",283,"inat","40732032",21.287811,-104.996477,"si",2020,3,19,"Nayarit","Compostela","4km al O de Jaltepec que esta paralelo al arrollo El Refilion","https://www.inaturalist.org/observations/40732032"
"284",284,"inat","39937968",21.495899,-105.176908,"si",2020,2,21,"Nayarit","San Blas","680m al N del Balneario El Badito en Juan Escutia","https://www.inaturalist.org/observations/39937968"
"285",285,"inat","39913850",21.495331,-105.176918,"si",2020,2,21,"Nayarit","San Blas","680m al N del Balneario El Badito en Juan Escutia","https://www.inaturalist.org/observations/39913850"
"286",286,"inat","38916818",20.94513,-105.345282,"si",2020,2,19,"Nayarit","Bahia de Banderas","800m al S de Ursulo Galvan, a la altura del Rancho las Mojarras","https://www.inaturalist.org/observations/38916818"
"287",287,"inat","38614884",17.625819,-101.536236,"si",2019,1,5,"Guerrero","Zihuatanejo de Azueta","200m antes de llegar Residencial Las Palmas III, 100m al E de la carretera, sobre el camino a playa La Ropa","https://www.inaturalist.org/observations/38614884"
"288",288,"inat","38043817",21.219722,-105.006667,"si",2020,1,24,"Nayarit","Compostela","Aprox. a 1km al E del Cafe Camila, por terraceria","https://www.inaturalist.org/observations/38043817"
"289",289,"inat","37681075",15.690278,-96.611944,"si",2020,1,14,"Oaxaca","Santa Maria Tonameca","Aprox a 600m al S del final del camino de terraceria hacia la Laguna del Palmar","https://www.inaturalist.org/observations/37681075"
"290",290,"inat","30349221",16.157574,-97.123521,"si",2019,2,3,"Oaxaca","San Juan Lachao","","https://www.inaturalist.org/observations/30349221"
"291",291,"inat","21893012",15.726831,-96.165237,"si",2019,3,30,"Oaxaca","Santa Maria Huatulco","Aprox. 858m antes de llegar a la Bahia de Cacaluta, por el camino de terraceria","https://www.inaturalist.org/observations/21893012"
"292",292,"inat","21029103",15.769032,-96.107621,"si",2019,2,15,"Oaxaca","Santa Maria Huatulco","Aprox. 700m al N del Mirador de Huatulco, sobre terraceria","https://www.inaturalist.org/observations/21029103"
"293",293,"inat","21029097",15.769032,-96.107621,"si",2019,2,15,"Oaxaca","Santa Maria Huatulco","Aprox. 700m al N del Mirador de Huatulco, sobre terraceria","https://www.inaturalist.org/observations/21029097"
"294",294,"inat","20159232",15.769197,-96.134143,"si",2019,1,25,"Oaxaca","Santa Maria Huatulco","Aprox 150m al E del Parque Ecologico Rufino Tamayo","https://www.inaturalist.org/observations/20159232"
